# This is a tab delimited spreadsheet (TSV) for all Heimdall messages.						
# The message levels are best practice (b), info (i), warning (w), error (e), and critical (c).						
code	label_en	description_en	label_fr	description_fr	url_en	url_fr
w013	Misplaced dissemination variables	The variables {variables} belong only in ‘experiment.cfg’ files but were found in: ‘{cfg_path}’	Variables de diffusion égaré	Les variables {variables} appartiennent uniquement dans 'experiment.cfg' fichiers, mais ont été trouvés dans: '{cfg_path}'	https://wiki.cmc.ec.gc.ca/wiki/Dissemination	
w014	Hub pairs have dissimilar targets	The hub folder links ‘{folder1}’ and ‘{folder2}’ are expected to have similar targets. Instead they are very different:\n{target1}\n{target2}	Paires hub ont des chemins différents	Les liens de dossier hub '{folder1}' et '{folder2}' devraient avoir des cibles similaires. Au contraire, ils sont très différents:\n{target1}\n{target2}	https://wiki.cmc.ec.gc.ca/wiki/Maestro/folders/hub	
w015	Git repo has uncommited changes	There are uncommited changes in the git repo. Experiments with the ‘{context}’ context should always have nothing to commit and a clean working tree from ‘git status’.	Dêpot git avec des changements pas engagé	Il y a des changements non engagé dans le dépôt git. Les expériences avec le '{context}' contexte devrait toujours avoir rien à engager et à un arbre de travail propre de 'git status'.		
w016	The task run_orji is disabled	The task resource ‘{resource_path}’ has a catchup value of ‘{catchup}’ but ‘run_orji’ tasks should always be enabled. This way, users get to decide whether to subscribe or unsubscribe.	Tâche run_orji est désactivée	La ressource de tâche ‘{resource_path}’ a une valeur de catchup '{catchup}', mais les tâches 'run_orji' doivent toujours être activés. De cette façon, les utilisateurs peuvent décider de souscrire ou désabonner.	https://wiki.cmc.ec.gc.ca/wiki/orji	
w017	Archive file is not a link	The archive file ‘{bad}’ is not a link. Files named ‘.protocole_*’ or ‘.archive_monitor_*’ must be links so that the maintainers of the archive system can more easily manage its settings.	Fichier d'archive n'est pas un lien	Le fichier archive '{bad}' n’est pas un lien. Les fichiers nommés '.protocole_*' ou '.archive_monitor_*’ doivent être des liens pour que les mainteneurs du système d'archivage peuvent gérer plus facilement ses paramètres.	https://wiki.cmc.ec.gc.ca/wiki/Archive	
w018	Bad items in gitignore	The gitignore file ‘{gitignore_path}’ should not contain line ‘{line}’. It’s important that this pattern is in the git repository so a full working suite can be shared.	Mauvais lignes dans gitignore	Le fichier gitignore '{gitignore_path}' ne doit pas contenir la ligne '{line}'. Il est important que ces fichiers sont dans le dépôt git donc une projet complète peut être partagé.		
w019	Missing items in gitignore	The gitignore file ‘{gitignore_path}’ should contain {content}. This will ignore files generated when running this suite which do not belong in the version controlled project.	Lignes manquants dans gitignore	Le fichier gitignore '{gitignore_path}' doit contenir {content}. Ceci permet d'ignorer les fichiers générés lors de l'exécution de cette suite qui ne font pas partie du projet contrôlé version.		
w020	No gitignore	There should be a gitignore file here: ‘{gitignore_path}’. No gitignore means large amounts of unimportant files may be accidentally shared or added to the project.	Pas de gitignore	Il devrait y avoir un fichier gitignore ici: ‘{gitignore_path}'. Pas de ‘.gitignore’ permet d’avoir des grandes quantités de fichiers temporaire et sans importance qui sont accidentellement partagés ou ajoutés au projet.		
w021	Maestro file in $CMCCONST	The realpath for file ‘{path}’ is in the $CMCCONST folder ‘{cmcconst}’. Task, config, flow, and resource XML files used in a suite should not be in the $CMCCONST folder.	Fichier maestro dans $CMCCONST	Le realpath pour le fichier '{path}' est dans le dossier $CMCCONST '{cmcconst}'. Tâche, configuration, flow et les fichiers XML de ressources utilisés dans une suite ne devrait pas être dans le dossier $CMCCONST.	https://gitlab.science.gc.ca/CMOI/best-practices/blob/master/en/constants.md	https://gitlab.science.gc.ca/CMOI/best-practices/blob/master/fr/constants.md
w022	Machine resource is hard coded	The experiment seems to have the ‘{context}’ context but the value ‘{machine_value}’ of ‘machine’ in ‘{resource_path}’ is hard coded. A switchover may break this suite. Use a variable like $FRONTEND instead.	Ressources de la machine est codé en dur	L'expérience semble avoir le '{context}' contexte, mais la valeur '{machine_value}' de 'machine' dans '{resource_path}' est codé en dur. Un switchover peut briser cette suite. Utilisez une variable comme $FRONTEND à la place.		
w023	Operational user can overwrite experiment	The operational user ‘{user}’ has write permissions on the permanent project file ‘{path}’. For safety during operational runs, ‘{user}’ should only have read and execution permissions for permanent project files.	Utilisateur opérationnelle peut écrire sur l’expérience 	L'utilisateur opérationnel '{user}' a des autorisations en écriture sur le fichier de projet permanent '{path}'. Pour plus de sécurité au cours de passes opérationnelles, '{user}' devrait seulement avoir les autorisations de lire, et non d'exécution pour les fichiers de projet permanents.	https://wiki.cmc.ec.gc.ca/wiki/CMOI/Suite_Management_Process	
w024	Parallel user in operational context	The experiment seems to have the ‘{context}’ context but the file ‘{file_path}’ references the parallel systems with the string ‘{par_string}’.	Utilisateur parallèle dans le contexte opérationnel	L'expérience semble avoir le '{context}' contexte, mais le fichier '{file_path}’ a des références au systèmes parallèles avec la texte '{par_string}'.	https://wiki.cmc.ec.gc.ca/wiki/CMOI/Suite_Management_Process	
w025	Operational files have incorrect owner	The experiment seems to have the ‘{context}’ context but the file ‘{path}’ is owned by ‘{owner}’ whereas ‘{expected}’ is expected.	Dossiers opérationnels ont propriétaire incorrect	L'expérience semble avoir le '{context}' contexte, mais le fichier '{path}' est la propriété de '{owner}’ mais ‘{expected}’ est attendu.	https://wiki.cmc.ec.gc.ca/wiki/CMOI/Suite_Management_Process	
w026	Wallclock much bigger than history requires	The wallclock for ‘{node_path}’ is set to ‘{wallclock_seconds}’ seconds in ‘{resource_xml}’ but the latest successful run on ‘{datestamp}’ only took ‘{latest_seconds}’ seconds. This is {factor} times bigger (the threshold for this message is {threshold}). The wallclock should probably be lowered.	Wallclock beaucoup plus grand que l'histoire exige	Le wallclock pour '{node_path}' est '{wallclock_seconds}’ secondes dans '{resource_xml}’ mais la dernière course réussie sur '{datestamp}' a pris '{latest_seconds}’ secondes. Ceci est {factor} fois plus gros (le seuil de ce message est {threshold}). Le wallclock devrait probablement être abaissé.	https://wiki.cmc.ec.gc.ca/wiki/Wallclock	
w027	Clobbered SSM packages	Different versions of the SSM package ‘{package}’ are used: {versions}. The same version should be used by all, or the package should only be added to the environment in one root place. Files:\n{paths}	Paquets SSM écrasés	Les différentes versions du paquet SSM '{package}' sont utilisés: {versions}. La même version doit être utilisée par tous, ou le paquet ne doit être ajouté à l'environnement dans un endroit racine. Fichiers:\n{paths}	https://wiki.cmc.ec.gc.ca/wiki/Ssm	
w028	Suite path in resources without datestamp	The resource file ‘{resource_path}’ has generic references to maestro project paths which don’t use datestamps like ‘_20200401’. This may cause issues with troubleshooting, history, and transfers. Paths:\n{bad}	Chemin d’expérience en ressources sans datestamp	Le fichier de ressources '{resource_path}' a des références génériques aux chemins de projet maestro qui n'utilisent pas la suffixe de date comme '_20200401'. Cela peut provoquer des problèmes avec le dépannage, l'histoire et les transferts. Chemins:\n{bad}	https://wiki.cmc.ec.gc.ca/wiki/CMOI/Suite_Management_Process	
w029	No soft link on operational home	The experiment path ‘{target}’ is where operational suites are installed, however there is no soft link ‘{source}’ pointing to it.	Aucun lien souple sur la maison opérationnelle	Le chemin d'expérience '{target}’ est l'endroit où les suites opérationnelles sont installées, mais il n'y a pas un lien doux '{source}' pointant vers elle.	https://wiki.cmc.ec.gc.ca/wiki/CMOI/Suite_Management_Process	
e027	Bad shell script syntax	The command ‘{verify_cmd}’ found errors in the shell script ‘{path}’. Output:\n{output}	Mauvaise syntaxe de script shell	La commande ‘{verify_cmd}’ a trouvé des erreurs dans le script shell ‘{path}’. Sortie:\n{output}		
b026	Shell script syntax recommendations	The command ‘{verify_cmd}’ recommends changes to the shell script ‘{path}’. Output:\n{output}	Recommandations pour le script shell	La commande ‘{verify_cmd}’ a trouvé des recommandations dans le script shell ‘{path}’. Sortie:\n{output}		
